Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,89,419,33,94,107,60,318,0,1120
489,0,144,33,17,140,29,1,0,364
188,3,49,0,38,10,0,225,8,333
132,0,8,0,18,47,1,0,5,79
Total,92,620,66,167,304,90,544,13,1896
