Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,75,330,43,27,104,123,101,0,803
489,0,233,43,5,123,98,0,0,502
188,5,86,1,2,12,2,279,13,400
132,2,11,0,4,39,2,2,10,70
Total,82,660,87,38,278,225,382,23,1775
