ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total,updated
75,330,43,27,104,123,101,0,803,2018-06
106,878,32,76,69,69,111,1,1342,2018-05
100,256,14,89,68,41,278,0,846,2018-04
159,583,37,97,44,189,394,0,1503,2018-03
89,419,33,94,107,60,318,0,1120,2018-02
85,395,24,82,73,75,320,0,1054,2018-01
63,379,3,86,57,26,338,0,952,2017-12
66,408,16,72,101,56,383,0,1102,2017-11
47,92,13,110,69,0,181,0,546,2017-10
42,8,14,80,78,29,132,0,383,2017-09
54,41,48,127,104,0,149,0,576,2017-08
14,9,19,96,66,30,185,0,419,2017-07
900,3798,296,1036,940,698,2890,1,10646,飞出国
