Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,156,177,60,182,138,154,734,1,1602
489,0,345,74,144,206,202,2,2,975
188,0,100,0,112,30,3,438,38,721
132,0,13,0,60,116,1,11,26,227
Total,156,635,134,498,490,360,1185,67,3525
