Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,66,244,11,105,134,64,141,17,782
489,0,54,16,19,90,93,0,2,274
188,1,37,0,29,15,0,197,12,291
132,0,7,0,17,35,1,5,10,75
Total,67,342,27,170,274,158,343,41,1422
