Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,85,395,24,82,73,75,320,0,1054
489,0,124,9,37,123,63,2,0,358
188,0,32,0,31,10,0,139,19,231
132,0,2,0,11,33,0,0,8,54
Total,0,553,33,161,239,138,461,27,1697
