Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,47,92,13,110,69,0,181,0,546
489,0,85,24,41,115,41,2,0,308
188,0,55,0,28,6,0,137,16,242
132,0,15,0,10,53,0,2,0,86
Total,47,247,37,189,243,75,322,22,1182
