Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,90,4,25,73,60,22,442,0,716
489,0,196,34,60,64,33,1,1,389
188,0,57,0,72,2,1,235,23,390
132,0,3,0,41,1,1,8,17,71
Total,90,260,59,246,127,57,686,41,1566
