Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,63,67,25,193,110,48,321,19,846
489,0,32,7,43,89,7,0,0,178
188,1,54,0,32,11,2,172,8,280
132,1,6,0,11,27,0,7,8,60
Total,65,159,32,279,237,57,500,35,1364
