Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,69,228,16,142,103,39,184,27,808
489,0,89,28,36,59,41,3,2,258
188,0,43,0,15,10,0,164,7,239
132,1,10,0,5,18,0,1,4,46
Total,70,370,44,198,190,81,355,43,1351
