Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,34,420,15,74,141,46,234,17,981
489,0,32,5,6,93,70,0,0,206
188,0,50,0,40,14,2,199,14,319
132,0,8,0,19,28,0,4,13,72
Total,34,510,20,139,276,118,437,44,1578
