Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,51,176,14,70,107,18,205,19,660
489,0,66,21,18,70,15,0,1,191
188,1,44,0,23,11,4,219,13,314
132,0,15,0,3,35,0,4,7,64
Total,51,301,35,114,223,37,428,40,1229
