Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,58,158,9,20,126,12,168,1,552
489,0,60,20,4,58,44,0,1,187
188,0,50,0,25,9,0,218,29,308
132,0,3,1,10,40,2,1,4,61
Total,58,271,30,59,233,58,387,12,1108
