Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,42,8,14,80,78,29,132,0,383
489,0,76,27,20,131,43,0,0,297
188,0,47,0,31,7,0,163,9,257
132,0,4,0,7,28,1,1,7,48
Total,42,135,41,138,244,73,296,16,985
