Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,80,260,11,53,94,47,260,21,826
489,0,49,18,7,57,42,2,1,176
188,1,38,0,36,10,0,174,5,264
132,0,2,0,15,45,0,4,3,69
Total,81,349,29,111,206,89,440,30,1335
