Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,54,41,48,127,104,0,149,0,576
489,0,69,19,60,267,53,0,0,468
188,3,45,0,42,12,2,122,16,242
132,0,5,0,17,44,1,0,10,77
Total,57,160,67,246,427,109,271,26,1363
