ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total,updated
1,53,79,7,41,84,26,164,32,486,2016-07-31
2,53,79,7,41,84,26,164,32,486,2016-07-31
3,53,79,7,41,84,26,164,32,486,2016-07-31
汇总,159,237,21,123,252,78,492,96,1458,飞出国
