Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,119,393,14,0,117,33,110,0,786
489,0,79,9,0,82,63,0,0,233
188,1,89,0,20,12,1,92,24,239
132,0,3,0,11,31,2,1,20,68
Total,120,564,23,31,242,99,203,44,1326
