Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,771,4122,201,978,1640,463,2627,191,11042
489,0,742,240,187,1122,571,7,11,2880
188,4,665,1,424,170,13,2732,152,4161
132,2,90,2,161,470,7,56,109,897
Total,777,5619,444,1750,3402,1054,5471,463,18980
