Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,101,901,52,149,299,71,524,31,2128
489,0,89,53,11,194,96,0,2,445
188,0,108,0,96,34,2,613,29,882
132,0,15,0,39,83,0,11,18,166
Total,101,1113,105,295,610,169,1148,80,3621
