Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,159,583,37,97,44,189,394,0,1503
489,0,187,23,26,41,72,0,1,350
188,0,57,0,34,2,1,199,16,309
132,0,6,0,26,5,2,1,6,46
Total,159,833,60,183,92,264,594,23,2208
