Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,825,3468,253,1009,836,662,2789,1,9843
489,0,1211,283,309,1522,552,10,0,3887
188,8,571,1,377,107,12,1977,147,3200
132,0,75,1,217,421,6,32,80,832
Total,833,5325,538,1912,2886,1232,4808,228,17762
