Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,28,420,12,127,154,27,202,20,990
489,0,18,30,32,73,45,2,2,202
188,0,26,1,31,17,0,177,17,269
132,0,3,0,16,35,1,4,8,67
Total,28,467,43,206,279,73,385,47,1528
