Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,42,817,10,0,114,39,208,1,1231
489,0,100,19,0,76,45,0,0,240
188,0,74,0,48,18,2,303,7,452
132,0,11,0,10,56,0,2,5,84
Total,42,1002,29,58,264,58,513,13,2007
