Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,66,408,16,72,101,56,383,0,1102
489,0,103,23,27,115,75,2,0,395
188,2,49,0,28,6,2,175,11,273
132,0,5,0,42,53,1,9,0,120
Total,68,565,39,169,243,134,569,13,1890
