Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,106,878,32,76,69,69,111,1,1342
489,0,178,56,22,54,57,1,0,368
188,0,98,0,31,7,2,219,18,375
132,0,7,0,24,42,0,5,8,86
Total,106,1161,88,153,172,128,336,27,2171
