ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total,updated
66,173,35,109,78,132,292,1,886,2018-08
90,4,25,73,60,22,442,0,716,2018-07
156,177,60,182,138,154,734,1,1602,飞出国
