Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,63,379,3,86,57,26,338,0,952
489,0,87,6,14,102,32,2,0,243
188,0,47,1,26,7,3,146,7,237
132,0,12,0,16,23,0,5,13,69
Total,63,525,10,142,189,61,491,20,1501
