Class,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total
190,100,256,14,89,68,41,278,0,846
489,0,95,49,19,70,29,0,0,262
188,0,36,0,31,7,2,157,16,249
132,0,2,1,23,7,0,3,5,41
Total,100,389,64,162,152,72,438,21,1398
