111111, 848
111211, 849
111212, 
111311, 866
111312, 869
111399, 
121111, 
121211, 
121212, 
121213, 
121214, 
121215, 
121216, 
121217, 
121218, 
121221, 
121299, 
121311, 
121312, 
121313, 
121314, 
121315, 
121316, 
121317, 
121318, 
121321, 
121322, 
121399, 
121411, 
131112, 995
131113, 998
131114, 1002
132111, 1003
132211, 1004
132311, 1011 
132411, 1012
132511, 
133111, 1014
133112, 1047
133211, 1054
133311, 1055
133312, 1056
133411, 1057
133511, 
133512, 1059
133513, 1060
133611, 1061
133612, 
134111, 1063
134211, 1064
134212, 1065
134213, 1067
134214, 1068
134299, 
134311, 1070
134411, 1071
134412, 1072
134499, 
135111, 1074
135112, 
135199, 
139111, 1077
139112, 1078
139113, 1079
139211, 1080
139911, 1081
139912, 1082
139913, 1083
139914, 1084
139915, 1085
141111, 
141211, 1088
141311, 1089
141411, 1090
141911, 1091
141912, 1092
141999, 1093
142111, 1094
142112, 1095
142113, 1096
142114, 1097
142115, 1098
142116, 1099
149111, 1100 
149112, 1101
149113, 1102
149211, 1103
149212, 1105
149311, 1106
149411, 1107
149412, 1108
149413, 1109
149911, 1110
149912, 1111
149913, 1112
149914, 1114
149915, 
211111, 912
211112, 914
211113, 850
211199, 
211211, 852
211212, 853
211213, 854
211214, 855
211299, 
211311, 857
211411, 858
211412, 859
211413, 860
211499, 862
212111, 863
212112, 864
212113, 865
212114, 867
212211, 
212212, 870
212311, 971
212312, 872
212313, 874
212314, 876
212315, 877
212316, 879
212317, 880
212318, 
212399, 
212411, 885
212412, 887
212413, 888
212414, 890
212415, 892
212416, 893
212499, 894
221111, 895
221112, 896
221113, 897
221211, 898
221212, 899
221213, 900
221214, 901
222111, 902
222112, 904
222113, 905
222199, 906
222211, 907
222212, 908
222213, 909
222299, 910
222311, 911
222312, 915
223111, 916
223112, 917
223113, 918
223211, 919
223311, 920
224111, 921
224112, 922
224113, 923
224211, 924
224212, 925
224213, 927
224214, 928
224311, 930
224411, 931
224412, 932
224511, 934
224512, 935
224611, 936
224711, 937
224712, 938
224911, 940
224912, 941
224913, 949
224914, 950
224999, 
225111, 953
225112, 954
225113, 956
225211, 957
225212, 958
225213, 960
225311, 961
225411, 962
225412, 963
225499, 
231111, 966
231112, 967
231113, 968
231114, 969
231199, 970
231211, 971
231212, 972
231213, 973
231214, 974
231215, 975
231299, 976
232111, 977
232112, 978
232212, 979
232213, 980
232214, 981
232311, 
232312, 
232313, 984
232411, 985
232412, 986
232413, 987
232414, 989
232511, 990
232611, 992
233111, 993
233112, 994
233211, 996
233212, 997
233213, 999
233214, 1000
233215, 1001
233311, 1005
233411, 1006
233511, 1007
233512, 1008
233513, 1009
233611, 
233612, 
233911, 1016
233912, 1017
233913, 1018
233914, 1019
233915, 1020
233916, 1021
233999, 
234111, 1023
234112, 1024
234113, 1025
234211, 1026
234212, 1027
234213, 1028
234311, 1029
234312, 1030
234313, 1031
234314, 1032
234399, 
234411, 1034
234412, 1035
234511, 1036
234512, 1037
234513, 1038
234514, 1039
234515, 1040
234516, 1041
234517, 1042
234518, 1043
234599, 1044
234611, 1045
234711, 1046
234911, 1048
234912, 1049
234913, 1050
234914, 1051
234999, 1052
241111, 1587
241112, 
241211, 
241212, 
241213, 1592
241311, 
241411, 1594
241511, 1595
241512, 1596
241513, 1598
241599, 
242111, 1601
242112, 1602
242211, 1603
249111, 1604
249112, 1605
249211, 1606
249212, 1607
249213, 1608
249214, 1609
249299, 1610
249311, 1611
251111, 1471
251112, 
251211, 1469
251212, 1468
251213, 1467
251214, 1466

251311, 1465
251312, 1464
251411, 1463
251412, 1462
251511, 1461
251512, 1460
251513, 1459
251911, 
251912, 1457
251999, 
252111, 1455
252112, 1454
