items,year1,year2,year3,year4,year5
,0 to 14 years,15 to 24 years,25 to 44 years,45 to 64 years,65 years or more
Africa and the Middle East,"14,146","7,233","32,854","6,100","1,843"
Asia and Pacific,"22,445","16,129","72,827","16,974","5,389"
Europe and the United Kingdom,"4,703","2,693","18,376","3,450",954
United States,"2,748",794,"3,366","1,360",228
South and Central America,"4,301","3,909","13,139","2,908",691
