items,family,economic,refugees,other
,Family class,Economic immigrants,Refugees,Other immigrants
Africa and the Middle East,"11,521","35,915","13,849",890
Asia and Pacific,"33,362","94,911","4,159","1,332"
Europe and the United Kingdom,"7,963","20,348","1,206",659
United States,"3,835","3,868",320,473
South and Central America,"9,831","9,984","3,429","1,704"
