Occupation,Description-flyabroad,Ceiling,Used
2613,Software and Applications Programmers,5364,1876
2212,"Auditors, Company Secretaries and Corporate Treasurers",1000,1000
2544,Registered Nurses,13872,874
2631,Computer Network Professionals,1986,649
2335,"Industrial, Mechanical and Production Engineers",1788,544
2611,ICT Business and Systems Analysts,1536,512
2211,Accountants,2525,490
2339,Other Engineering Professionals,1000,382
2332,Civil Engineering Professionals,2970,361
2334,Electronics Engineers,1000,253
2633,Telecommunications Engineering Professionals,1000,200
2333,Electrical Engineers,1230,168
2414,Secondary School Teachers,8352,163
2539,Other Medical Practitioners,1000,152
2331,Chemical and Materials Engineers,1000,138
2531,General Practitioners and Resident Medical officers,3558,112
2321,Architects and Landscape Architects,1650,103
2713,Solicitors,3252,88
3212,Motor Mechanics,6108,70
3312,Carpenters and Joiners,7290,64
3411,Electricians,8772,59
2336,Mining Engineers,1000,54
2725,Social Workers,2166,48
2525,Physiotherapists,1104,47
2411,Early Childhood (Pre-primary School) Teachers,1980,45
2341,Agricultural and Forestry Scientists,1000,43
3513,Chefs,2475,41
2512,Medical Imaging Professionals,1092,36
2513,Occupational and Environmental Health Professionals,1578,32
3341,Plumbers,5130,32
1331,Construction Managers,5640,30
2346,Medical Laboratory Scientists,1362,30
2723,Psychologists,1212,30
2524,Occupational Therapists,1000,28
2347,Veterinarians,1000,25
3122,Civil Engineering Draftspersons and Technicians,1000,23
2312,Marine Transport Professionals,1000,22
3311,Bricklayers and Stonemasons,1656,22
1342,Health and Welfare Services Managers,1410,20
2241,"Actuaries, Mathematicians and Statisticians",1000,20
3232,Metal Fitters and Machinists,8070,20
3423,Electronics Trades Workers,2076,20
2322,Cartographers and Surveyors,1000,18
2245,Land Economists and Valuers,1000,16
2532,Anaesthetists,1000,16
4112,"Dental Hygienists, Technicians and Therapists",1000,16
2527,Speech Professionals and Audiologists,1000,15
2533,Internal Medicine Specialists,1000,15
3211,Automotive Electricians,1000,15
2534,Psychiatrists,1000,14
1332,Engineering Managers,1014,12
2521,Chiropractors and Osteopaths,1000,12
3223,Structural Steel and Welding Trades Workers,4416,12
2541,Midwives,1000,11
3322,Painting Trades Workers,2802,11
2514,Optometrists and Orthoptists,1000,9
2526,Podiatrists,1000,9
2535,Surgeons,1000,9
3132,Telecommunications Technical Specialists,1000,9
1341,Child Care Centre Managers,1000,6
2349,Other Natural and Physical Science Professionals,1000,6
2415,Special Education Teachers,1158,6
3123,Electrical Engineering Draftspersons and Technicians,1000,6
3332,Plasterers,1866,4
3421,Airconditioning and Refrigeration Mechanics,1038,4
3334,Wall and Floor Tilers,1284,3
3422,Electrical Distribution Trades Workers,1000,3
1335,Production Managers,3582,1
2711,Barristers,1000,1
3233,Precision Metal Trades Workers,1000,1
3241,?Panelbeaters,1134,1
3331,Glaziers,1000,1
3941,Cabinetmakers,1530,1
3222,Sheetmetal Trades Workers,1000,0
3991,Boat Builders and Shipwrights,1000,0
