Occupation,Description-flyabroad,Ceiling,Used
2613,Software and Applications Programmers,5364,1658
2212,"Auditors, Company Secretaries and Corporate Treasurers",1000,1000
2544,Registered Nurses,13872,769
2631,Computer Network Professionals,1986,569
2211,Accountants,2525,465
2335,"Industrial, Mechanical and Production Engineers",1788,459
2611,ICT Business and Systems Analysts,1536,448
2339,Other Engineering Professionals,1000,325
2332,Civil Engineering Professionals,2970,312
2334,Electronics Engineers,1000,209
2633,Telecommunications Engineering Professionals,1000,164
2333,Electrical Engineers,1230,145
2414,Secondary School Teachers,8352,140
2539,Other Medical Practitioners,1000,133
2331,Chemical and Materials Engineers,1000,116
2531,General Practitioners and Resident Medical officers,3558,105
2321,Architects and Landscape Architects,1650,88
2713,Solicitors,3252,76
3212,Motor Mechanics,6108,62
3312,Carpenters and Joiners,7290,58
3411,Electricians,8772,54
2336,Mining Engineers,1000,46
2525,Physiotherapists,1104,45
2725,Social Workers,2166,42
2411,Early Childhood (Pre-primary School) Teachers,1980,40
3513,Chefs,2475,39
2341,Agricultural and Forestry Scientists,1000,38
2512,Medical Imaging Professionals,1092,33
3341,Plumbers,5130,27
2723,Psychologists,1212,27
2513,Occupational and Environmental Health Professionals,1578,27
2346,Medical Laboratory Scientists,1362,27
1331,Construction Managers,5640,26
2347,Veterinarians,1000,23
2524,Occupational Therapists,1000,22
3311,Bricklayers and Stonemasons,1656,18
3232,Metal Fitters and Machinists,8070,18
3122,Civil Engineering Draftspersons and Technicians,1000,18
2322,Cartographers and Surveyors,1000,17
2312,Marine Transport Professionals,1000,17
2241,"Actuaries, Mathematicians and Statisticians",1000,17
1342,Health and Welfare Services Managers,1410,17
3423,Electronics Trades Workers,2076,16
4112,"Dental Hygienists, Technicians and Therapists",1000,15
2532,Anaesthetists,1000,15
2527,Speech Professionals and Audiologists,1000,14
2534,Psychiatrists,1000,13
2533,Internal Medicine Specialists,1000,13
3223,Structural Steel and Welding Trades Workers,4416,12
2245,Land Economists and Valuers,1000,12
2521,Chiropractors and Osteopaths,1000,10
3322,Painting Trades Workers,2802,9
2541,Midwives,1000,9
2535,Surgeons,1000,9
1332,Engineering Managers,1014,9
2526,Podiatrists,1000,8
3132,Telecommunications Technical Specialists,1000,6
2514,Optometrists and Orthoptists,1000,6
2415,Special Education Teachers,1158,6
2349,Other Natural and Physical Science Professionals,1000,6
1341,Child Care Centre Managers,1000,6
3421,Airconditioning and Refrigeration Mechanics,1038,5
3422,Electrical Distribution Trades Workers,1000,4
3211,Automotive Electricians,1000,4
3334,Wall and Floor Tilers,1284,3
3332,Plasterers,1866,3
3123,Electrical Engineering Draftspersons and Technicians,1000,3
3331,Glaziers,1000,1
3241,?Panelbeaters,1134,1
3233,Precision Metal Trades Workers,1000,1
2711,Barristers,1000,1
1335,Production Managers,3582,1
3991,Boat Builders and Shipwrights,1000,0
3941,Cabinetmakers,1530,0
3222,Sheetmetal Trades Workers,1000,0
