Occupation,Description-flyabroad,Ceiling,Used
2613,Software and Applications Programmers,5364,2094
2544,Registered Nurses,13872,1009
2212,"Auditors, Company Secretaries and Corporate Treasurers",1000,1000
2631,Computer Network Professionals,1986,739
2335,"Industrial, Mechanical and Production Engineers",1788,642
2611,ICT Business and Systems Analysts,1536,576
2211,Accountants,2525,515
2339,Other Engineering Professionals,1000,447
2332,Civil Engineering Professionals,2970,436
2334,Electronics Engineers,1000,297
2633,Telecommunications Engineering Professionals,1000,247
2333,Electrical Engineers,1230,196
2414,Secondary School Teachers,8352,180
2539,Other Medical Practitioners,1000,177
2331,Chemical and Materials Engineers,1000,173
2531,General Practitioners and Resident Medical officers,3558,127
2321,Architects and Landscape Architects,1650,114
2713,Solicitors,3252,98
3212,Motor Mechanics,6108,79
3312,Carpenters and Joiners,7290,73
2336,Mining Engineers,1000,66
3411,Electricians,8772,66
2411,Early Childhood (Pre-primary School) Teachers,1980,53
2725,Social Workers,2166,53
2525,Physiotherapists,1104,52
3513,Chefs,2475,50
2341,Agricultural and Forestry Scientists,1000,49
2346,Medical Laboratory Scientists,1362,39
2512,Medical Imaging Professionals,1092,39
2513,Occupational and Environmental Health Professionals,1578,38
3341,Plumbers,5130,38
1331,Construction Managers,5640,35
2524,Occupational Therapists,1000,32
2723,Psychologists,1212,31
3122,Civil Engineering Draftspersons and Technicians,1000,27
2347,Veterinarians,1000,26
2241,"Actuaries, Mathematicians and Statisticians",1000,25
3232,Metal Fitters and Machinists,8070,25
3311,Bricklayers and Stonemasons,1656,25
2312,Marine Transport Professionals,1000,24
1342,Health and Welfare Services Managers,1410,22
2322,Cartographers and Surveyors,1000,20
3423,Electronics Trades Workers,2076,20
2532,Anaesthetists,1000,18
4112,"Dental Hygienists, Technicians and Therapists",1000,18
2245,Land Economists and Valuers,1000,17
2533,Internal Medicine Specialists,1000,17
3223,Structural Steel and Welding Trades Workers,4416,17
2534,Psychiatrists,1000,16
2527,Speech Professionals and Audiologists,1000,15
2541,Midwives,1000,15
2521,Chiropractors and Osteopaths,1000,14
3132,Telecommunications Technical Specialists,1000,14
3322,Painting Trades Workers,2802,13
1332,Engineering Managers,1014,12
2526,Podiatrists,1000,11
2415,Special Education Teachers,1158,9
2514,Optometrists and Orthoptists,1000,9
2535,Surgeons,1000,9
3123,Electrical Engineering Draftspersons and Technicians,1000,8
1341,Child Care Centre Managers,1000,7
2349,Other Natural and Physical Science Professionals,1000,7
3421,Airconditioning and Refrigeration Mechanics,1038,6
3332,Plasterers,1866,5
3422,Electrical Distribution Trades Workers,1000,5
3211,Automotive Electricians,1000,4
3334,Wall and Floor Tilers,1284,3
1335,Production Managers,3582,1
2711,Barristers,1000,1
3222,Sheetmetal Trades Workers,1000,1
3233,Precision Metal Trades Workers,1000,1
3241,Panelbeaters,1134,1
3331,Glaziers,1000,1
3941,Cabinetmakers,1530,1
3991,Boat Builders and Shipwrights,1000,0
