Occupation,Description-flyabroad,Ceiling,Used
2613,Software and Applications Programmers,5364,2748
2544,Registered Nurses,13872,1235
2212,"Auditors, Company Secretaries and Corporate Treasurers",1000,1000
2631,Computer Network Professionals,1986,940
2335,"Industrial, Mechanical and Production Engineers",1788,822
2611,ICT Business and Systems Analysts,1536,768
2211,Accountants,2525,630
2339,Other Engineering Professionals,1000,564
2332,Civil Engineering Professionals,2970,560
2334,Electronics Engineers,1000,387
2633,Telecommunications Engineering Professionals,1000,314
2333,Electrical Engineers,1230,244
2331,Chemical and Materials Engineers,1000,242
2414,Secondary School Teachers,8352,226
2539,Other Medical Practitioners,1000,222
2531,General Practitioners and Resident Medical officers,3558,159
2321,Architects and Landscape Architects,1650,144
2713,Solicitors,3252,124
3312,Carpenters and Joiners,7290,91
3212,Motor Mechanics,6108,90
2336,Mining Engineers,1000,84
3411,Electricians,8772,79
2725,Social Workers,2166,71
2411,Early Childhood (Pre-primary School) Teachers,1980,65
2341,Agricultural and Forestry Scientists,1000,64
2525,Physiotherapists,1104,64
3513,Chefs,2475,59
2346,Medical Laboratory Scientists,1362,52
1331,Construction Managers,5640,49
2513,Occupational and Environmental Health Professionals,1578,46
3341,Plumbers,5130,45
2512,Medical Imaging Professionals,1092,42
2723,Psychologists,1212,41
2524,Occupational Therapists,1000,39
3122,Civil Engineering Draftspersons and Technicians,1000,32
3232,Metal Fitters and Machinists,8070,32
2241,"Actuaries, Mathematicians and Statisticians",1000,31
2347,Veterinarians,1000,30
1342,Health and Welfare Services Managers,1410,29
3311,Bricklayers and Stonemasons,1656,29
2312,Marine Transport Professionals,1000,26
2527,Speech Professionals and Audiologists,1000,25
4112,"Dental Hygienists, Technicians and Therapists",1000,24
2322,Cartographers and Surveyors,1000,24
2533,Internal Medicine Specialists,1000,23
3423,Electronics Trades Workers,2076,23
2532,Anaesthetists,1000,22
2245,Land Economists and Valuers,1000,21
3223,Structural Steel and Welding Trades Workers,4416,21
2541,Midwives,1000,19
2534,Psychiatrists,1000,18
3132,Telecommunications Technical Specialists,1000,17
3322,Painting Trades Workers,2802,16
1332,Engineering Managers,1014,15
2349,Other Natural and Physical Science Professionals,1000,15
2521,Chiropractors and Osteopaths,1000,15
2526,Podiatrists,1000,14
2415,Special Education Teachers,1158,13
2514,Optometrists and Orthoptists,1000,13
2535,Surgeons,1000,12
1341,Child Care Centre Managers,1000,10
3123,Electrical Engineering Draftspersons and Technicians,1000,10
3421,Airconditioning and Refrigeration Mechanics,1038,10
3332,Plasterers,1866,6
3422,Electrical Distribution Trades Workers,1000,6
3211,Automotive Electricians,1000,5
3334,Wall and Floor Tilers,1284,3
3941,Cabinetmakers,1530,3
1335,Production Managers,3582,2
3222,Sheetmetal Trades Workers,1000,2
2711,Barristers,1000,1
3233,Precision Metal Trades Workers,1000,1
3241,Panelbeaters,1134,1
3331,Glaziers,1000,1
3991,Boat Builders and Shipwrights,1000,0
