pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（EB-1）,无需排期,无需排期,无需排期,杰出人才、研究人员、跨国公司主管
第二优先（EB-2/NIW）,无需排期,2012-07-15,前进5个月,高等学位专业人才
第三优先（EB-3）,2016-07-01,2013-04-15,前进3个月,技术劳工及专业人士
非技术劳工（EB-3）,2016-07-01,2005-09-01,前进8个月,非技术劳工
第四优先（EB-4）,无需排期,无需排期,不变,宗教移民
宗教工作者,无需排期,无需排期,重新有名额,宗教工作者
第五优先（C5、T5）（Non-Regional Center）,无需排期,2014-03-08,前进半个月,投资移民（非区域中心）
第五优先（I5、R5）（Regional Center）,无需排期,2014-03-08,可以排期了,投资移民（区域中心）
