pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F1）,2011-07-22,2011-07-22,不变,美国公民的成年未婚子女
第二优先 2A（F2A）,2016-04-08,2016-04-08,不变,永久居民配偶及未成年子女
第二优先 2B（F2B）,2011-09-01,2011-09-01,不变,永久居民的成年子女
第三优先（F3）,2005-12-01,2005-12-01,不变,公民的已婚子女
第四优先（F4）,2004-11-15,2004-11-15,不变,公民的兄弟姐妹
