pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F1）,2010-10-15,2010-10-15,前进4.5个月,美国公民的成年未婚子女
第二优先 2A（F2A）,2015-06-08,2015-06-08,前进1个月,永久居民配偶及未成年子女
第二优先 2B（F2B）,2010-09-15,2010-09-15,前进1个月,永久居民的成年子女
第三优先（F3）,2005-05-15,2005-05-15,前进23天,公民的已婚子女
第四优先（F4）,2004-05-08,2004-05-08,前进2.5个月,公民的兄弟姐妹
