pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（EB-1）,无需排期,无需排期,重新有名额,杰出人才、研究人员、跨国公司主管
第二优先（EB-2/NIW）,无需排期,2012-02-15,前进2年2.5月,高等学位专业人才
第三优先（EB-3）,2016-06-01,2013-01-22,前进3年,技术劳工及专业人士
非技术劳工（EB-3）,2016-06-01,2005-01-01,前进1年,非技术劳工
第四优先（EB-4）,无需排期,无需排期,不变,宗教移民
宗教工作者,没有名额,没有名额,没有名额,宗教工作者
第五优先（C5、T5）（Non-Regional Center）,无需排期,2014-02-22,前进7天,投资移民（非区域中心）
第五优先（I5、R5）（Regional Center）,没有名额,没有名额,没有名额,投资移民（区域中心）
