pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F1）,2010-12-22,2010-12-22,前进14天,美国公民的成年未婚子女
第二优先 2A（F2A）,2015-08-15,2015-08-15,前进30天,永久居民配偶及未成年子女
第二优先 2B（F2B）,2010-10-22,2010-10-22,前进21天,永久居民的成年子女
第三优先（F3）,2005-07-01,2005-07-01,前进15天,公民的已婚子女
第四优先（F4）,2004-05-08,2004-05-08,不变,公民的兄弟姐妹
