pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F1）,2010-06-01,2010-06-01,前进约3个月,美国公民的成年未婚子女
第二优先 2A（F2A）,2015-05-08,2015-05-08,前进23天,永久居民配偶及未成年子女
第二优先 2B（F2B）,2010-08-15,2010-08-15,前进37天,永久居民的成年子女
第三优先（F3）,2005-04-22,2005-04-22,前进30天,公民的已婚子女
第四优先（F4）,2004-02-22,2004-02-22,前进1个月,公民的兄弟姐妹
