pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F-1）,2011-01-01,2011-01-01,前进1年,美国公民的成年未婚子女
第二优先 2A（F-2A）,2015-11-22,2015-11-22,不变,永久居民配偶及未成年子女
第二优先 2B（F-2B）,2011-02-08,2011-02-08,不变,永久居民的成年子女
第三优先（F3）,2005-08-22,2005-08-22,不变,公民的已婚子女
第四优先（F4）,2004-07-15,2004-07-01,前进15天,公民的兄弟姐妹
