pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F1）,2009-12-1,2009-12-1,前进约1个月,美国公民的成年未婚子女
第二优先 2A（F2A）,2015-02-22,2015-02-22,前进1个月,永久居民配偶及未成年子女
第二优先 2B（F2B）,2010-05-08,2010-05-08,前进约1个月,永久居民的成年子女
第三优先（F3）,2005-02-15,2005-02-15,前进约1个月,公民的已婚子女
第四优先（F4）,2003-12-22,2003-10-01,前进2个月,公民的兄弟姐妹
