pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（EB1）,无需排期,2012-01-01,出现排期,杰出人才、研究人员、跨国公司主管
第二优先（EB2/NIW）,无需排期,2013-03-01,前进21天,高等学位专业人才
第三优先（EB3）,2017-04-15,2014-10-01,不变,技术劳工及专业人士
非技术劳工（EB3）,2017-04-15,2006-07-15,前进129天,非技术劳工
第四优先（EB4）,无需排期,无需排期,不变,特殊移民
宗教工作者,没有名额,无需排期,有名额了,宗教工作者
第五优先（C5、T5）（Non-Regional Center）,无需排期,2014-06-08,前进7天,投资移民（非区域中心）
第五优先（I5、R5）（Regional Center）,无需排期,2014-06-08,有名额了,投资移民（区域中心）
