pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F1）,2010-02-22,2010-02-22,前进半个月,美国公民的成年未婚子女
第二优先 2A（F2A）,2015-04-15,2015-04-15,前进约1个月,永久居民配偶及未成年子女
第二优先 2B（F2B）,2010-07-08,2010-07-08,前进1个月,永久居民的成年子女
第三优先（F3）,2005-03-22,2005-03-22,前进22天,公民的已婚子女
第四优先（F4）,2004-02-08,2004-01-22,前进2个月,公民的兄弟姐妹
