pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（EB1）,无需排期,无需排期,不变,杰出人才、研究人员、跨国公司主管
第二优先（EB2/NIW）,无需排期,2013-02-08,前进24天,高等学位专业人才
第三优先（EB3）,2017-03-15,2014-10-01,前进47天,技术劳工及专业人士
非技术劳工（EB3）,2017-03-15,2006-03-08,前进7天,非技术劳工
第四优先（EB4）,无需排期,无需排期,不变,特殊移民
宗教工作者,没有名额,没有名额,没有名额,宗教工作者
第五优先（C5、T5）（Non-Regional Center）,无需排期,2014-06-01,前进11天,投资移民（非区域中心）
第五优先（I5、R5）（Regional Center）,没有名额,没有名额,没有名额,投资移民（区域中心）
