pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F-1）,2009-10-22,2009-10-22,前进1个月,美国公民的成年未婚子女
第二优先 2A（F-2A）,2015-01-22,2015-01-22,前进1个月,永久居民配偶及未成年子女
第二优先 2B（F-2B）,2010-04-15,2010-04-15,前进1个月,永久居民的成年子女
第三优先（F-3）,2005-01-22,2005-01-22,前进1个月,公民的已婚子女
第四优先（F-4）,2003-12-01,2003-08-01,前进3个月,公民的兄弟姐妹
