pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（EB-1）,无需排期,无需排期,不变,杰出人才、研究人员、跨国公司主管
第二优先（EB-2/NIW）,无需排期,2013-03-01,不变,高等学位专业人才
第三优先（EB-3）,无需排期,2014-05-01,不变,技术劳工及专业人士
非技术劳工（EB-3）,无需排期,2009-08-01,不变,非技术劳工
第四优先（EB-4）,无需排期,无需排期,不变,宗教移民
宗教工作者,无需排期,无需排期,不变,宗教工作者
第五优先（C5、T5）（Non-Regional Center）,无需排期,2014-06-15,不变,投资移民（EB-5非区域中心）
第五优先（I5、R5）（Regional Center）,无需排期,2014-06-15,倒退1年,投资移民（EB-5区域中心）
