pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（EB1）,无需排期,无需排期,无需排期,杰出人才、研究人员、跨国公司主管
第二优先（EB2/NIW）,无需排期,2012-09-22,前进约2个月,高等学位专业人才
第三优先（EB3）,2016-07-01,2013-07-1,前进2.5个月,技术劳工及专业人士
非技术劳工（EB3）,2016-07-01,2005-11-01,前进2个月,非技术劳工
第四优先（EB4）,无需排期,无需排期,不变,宗教移民
宗教工作者,无需排期,无需排期,不变,宗教工作者
第五优先（C5、T5）（Non-Regional Center）,无需排期,2014-03-22,前进半个月,投资移民（非区域中心）
第五优先（I5、R5）（Regional Center）,无需排期,2014-03-22,前进半个月,投资移民（区域中心）
