pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（EB1）,无需排期,无需排期,不变,杰出人才、研究人员、跨国公司主管
第二优先（EB2/NIW）,无需排期,2012-12-15,前进1个月,高等学位专业人才
第三优先（EB3）,2016-12-01,2014-03-15,前进5个半月,技术劳工及专业人士
非技术劳工（EB3）,2016-10-01,2006-02-01,前进2个月,非技术劳工
第四优先（EB4）,无需排期,无需排期,不变,宗教移民
宗教工作者,无需排期,无需排期,不变,宗教工作者
第五优先（C5、T5）（Non-Regional Center）,无需排期,2014-05-01,前进半个月,投资移民（非区域中心）
第五优先（I5、R5）（Regional Center）,无需排期,2014-05-01,前进半个月,投资移民（区域中心）
