pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（F-1）,2009-09-22,2009-09-22,前进7天,美国公民的成年未婚子女
第二优先 2A（F-2A）,2014-12-22,2014-12-22,前进37天,永久居民配偶及未成年子女
第二优先 2B（F-2B）,2010-03-15,2010-03-15,前进42天,永久居民的成年子女
第三优先（F-3）,2004-12-22,2004-12-22,前进21天,公民的已婚子女
第四优先（F-4）,2003-11-01,2003-05-01,前进5个月,公民的兄弟姐妹
