pizhun,quanqiu,zhongguo,bianhua,beizhu
第一优先（EB1）,无需排期,无需排期,不变,杰出人才、研究人员、跨国公司主管
第二优先（EB2/NIW）,无需排期,2013-10-01,前进214天,高等学位专业人才
第三优先（EB3）,无需排期,2015-09-01,前进488天,技术劳工及专业人士
非技术劳工（EB3）,无需排期,2008-06-01,倒退426天,非技术劳工
第四优先（EB4）,无需排期,无需排期,不变,特殊移民
宗教工作者,无需排期,无需排期,不变,宗教工作者
第五优先（C5、T5）（Non-Regional Center）,无需排期,2014-09-01,前进78天,投资移民（EB-5非区域中心）
第五优先（I5、R5）（Regional Center）,无需排期,2014-09-01,前进78天,投资移民（EB-5区域中心）
