code,sub_txt,sub_quota,sub_first,sub_second,sub_invitations,sub_candidates,sub_spots,sub_chances
fr,Volontariat international en entreprise (VIE),550,"Week of January 9, 2023",NA,121,52,438,True
es,ICEX Vives,50,"Week of January 9, 2023",NA,NA,NA,50,True
